                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.80385,                0.63477,                0.94984,                0.39556,                0.75394,                0.43809,                0.31685,                 1.0151,                 1.8003,                 1.0558,             0.00054478,             0.00054478,             0.00054478
                     70,                0.78073,                0.59378,                0.93115,                0.39144,                0.76795,                0.44193,                0.32158,                 1.0089,                 1.6535,                 1.0544,             0.00052827,             0.00052827,             0.00052827
                     71,                0.76945,                0.61178,                 0.9352,                 0.4168,                0.80267,                0.45971,                0.33113,                0.98144,                 1.5436,                 1.0583,             0.00051177,             0.00051177,             0.00051177
                     72,                0.77464,                0.60657,                 0.9427,                0.42703,                  0.726,                0.45212,                0.32647,                0.97862,                 1.9378,                 1.0536,             0.00049527,             0.00049527,             0.00049527
                     73,                 0.7893,                0.62806,                0.93992,                0.44405,                0.79667,                0.47534,                0.34088,                0.99285,                 1.4037,                 1.0568,             0.00047876,             0.00047876,             0.00047876
                     74,                0.76514,                0.59298,                0.92994,                0.42475,                0.77941,                 0.4835,                0.34767,                0.99265,                 1.5429,                 1.0551,             0.00046226,             0.00046226,             0.00046226
                     75,                 0.7869,                0.57431,                0.93633,                0.40068,                 0.7397,                0.44191,                 0.3163,                0.98584,                 1.5588,                 1.0486,             0.00044576,             0.00044576,             0.00044576
                     76,                0.78048,                0.57218,                0.93734,                0.41041,                0.77295,                 0.4489,                0.33146,                0.94202,                 1.6987,                 1.0188,             0.00042925,             0.00042925,             0.00042925
                     77,                0.75748,                0.57165,                0.93438,                0.40903,                0.75042,                0.46378,                0.34115,                 1.0061,                  1.633,                 1.0555,             0.00041275,             0.00041275,             0.00041275
                     78,                0.75537,                 0.5534,                0.92626,                0.43703,                0.78019,                0.50533,                0.36943,                0.99607,                 1.6036,                 1.0597,             0.00039625,             0.00039625,             0.00039625
                     79,                0.77638,                0.56302,                0.94143,                0.41861,                 0.7785,                0.45644,                0.33672,                0.97637,                 1.7505,                 1.0467,             0.00037974,             0.00037974,             0.00037974
                     80,                0.75502,                0.55375,                0.92625,                0.42817,                 0.7419,                0.45534,                0.33215,                0.98175,                 1.7219,                 1.0603,             0.00036324,             0.00036324,             0.00036324
                     81,                0.72217,                 0.5389,                0.91664,                0.43747,                 0.7712,                0.47482,                0.34628,                 1.0046,                 1.6233,                 1.0547,             0.00034674,             0.00034674,             0.00034674
                     82,                0.74992,                 0.5462,                0.93363,                0.44268,                0.79542,                0.50404,                0.37424,                0.96772,                 1.5837,                 1.0516,             0.00033023,             0.00033023,             0.00033023
                     83,                0.74307,                 0.5375,                0.92825,                0.41565,                0.74021,                 0.4609,                0.33137,                 1.0006,                 1.7642,                 1.0667,             0.00031373,             0.00031373,             0.00031373
                     84,                0.72368,                0.52528,                 0.9197,                0.45743,                0.73974,                0.50253,                 0.3711,                0.97311,                 1.6804,                 1.0494,             0.00029723,             0.00029723,             0.00029723
                     85,                0.77052,                0.52371,                0.93708,                 0.4619,                0.79879,                0.52324,                 0.3904,                0.96503,                 1.4008,                 1.0562,             0.00028072,             0.00028072,             0.00028072
                     86,                0.74115,                0.52741,                0.93059,                0.43528,                0.72844,                0.50598,                0.36452,                0.98207,                 1.7271,                  1.066,             0.00026422,             0.00026422,             0.00026422
                     87,                0.74214,                0.52403,                0.93728,                0.44487,                0.73134,                0.48437,                0.35626,                0.98382,                 1.5707,                 1.0487,             0.00024772,             0.00024772,             0.00024772
                     88,                0.71821,                0.51725,                0.91426,                0.41248,                0.75916,                0.49315,                0.36504,                 0.9665,                 1.7215,                 1.0487,             0.00023121,             0.00023121,             0.00023121
                     89,                0.70779,                0.49258,                0.91771,                0.44877,                0.73585,                0.49843,                0.36777,                 1.0043,                  1.661,                 1.0691,             0.00021471,             0.00021471,             0.00021471
                     90,                0.74082,                0.51139,                0.92602,                0.43784,                0.71262,                0.48166,                0.35525,                0.99252,                 1.7453,                 1.0678,             0.00019821,             0.00019821,             0.00019821
                     91,                0.68045,                0.44496,                0.89446,                0.42919,                0.72866,                0.49885,                0.35655,                 1.0085,                 1.6878,                 1.0767,              0.0001817,              0.0001817,              0.0001817
                     92,                0.63336,                0.41206,                0.87205,                0.44633,                 0.6835,                0.47753,                0.34887,                0.99488,                 1.6332,                 1.0774,              0.0001652,              0.0001652,              0.0001652
                     93,                0.63966,                0.39097,                0.87498,                 0.4454,                 0.7135,                0.48065,                 0.3511,                0.98849,                 1.8862,                  1.082,              0.0001487,              0.0001487,              0.0001487
                     94,                0.62898,                 0.3841,                 0.8798,                0.44445,                0.69599,                0.48841,                0.35512,                 1.0063,                 1.7612,                 1.0792,             0.00013219,             0.00013219,             0.00013219
                     95,                0.62581,                0.38266,                0.86508,                 0.4446,                0.73496,                0.49344,                0.36358,                 1.0062,                 1.6785,                 1.0831,             0.00011569,             0.00011569,             0.00011569
                     96,                0.61676,                0.37964,                0.87144,                0.44803,                0.71177,                0.47667,                0.35195,                0.99545,                 1.8304,                 1.0801,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.61334,                0.38057,                0.87232,                0.44547,                0.70411,                0.47693,                0.35068,                0.99859,                 1.7724,                 1.0778,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.61382,                0.36664,                 0.8664,                0.43271,                0.69724,                0.47463,                0.34748,                 0.9963,                 1.8456,                 1.0784,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.61143,                0.37832,                0.86777,                0.43688,                0.72447,                0.48784,                0.35702,                 1.0037,                 1.7547,                 1.0872,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.60891,                0.37149,                0.86752,                0.44533,                0.71704,                0.48688,                0.35921,                 0.9972,                  1.759,                 1.0841,             3.3173e-05,             3.3173e-05,             3.3173e-05
